airline_name,author,Destination Country,cabin_flown,overall_rating,seat_comfort_rating,cabin_staff_rating,food_beverages_rating,inflight_entertainment_rating,value_money_rating,Month,Year,recommended
aegean-airlines,M McManus,Belgium,Economy,8,4,5,5,1,4,5,2015,Yes
aegean-airlines,D Lee,Singapore,Economy,10,5,5,5,3,5,5,2015,Yes
aegean-airlines,W Coenik,Australia,Economy,9,4,5,4,1,4,5,2015,Yes
aegean-airlines,C Kourlampas,Greece,Economy,8,3,4,4,3,4,4,2015,Yes
aegean-airlines,A Milossavlyevich,Egypt,Economy,2,1,2,1,1,2,4,2015,No
aegean-airlines,G Carsten,Germany,Economy,7,3,4,4,3,4,4,2015,Yes
aegean-airlines,A Phillipou,United Kingdom,Economy,9,4,5,3,0,4,3,2015,Yes
aer-lingus,Keith Tynan,United States,Economy,3,2,1,1,1,2,7,2015,No
aegean-airlines,Sonntag Josef,Israel,Economy,7,5,4,2,0,4,3,2015,Yes
aegean-airlines,I Magouras,Switzerland,Economy,9,4,5,4,0,5,3,2015,Yes
aegean-airlines,M Kapsalis,Greece,Business Class,3,2,4,4,1,1,3,2015,No
aer-lingus,Christina Kelly,Ireland,Economy,5,3,4,1,1,1,7,2015,No
aegean-airlines,Michalis Kapsalis,Greece,Business Class,3,2,4,3,0,2,3,2015,No
aegean-airlines,Russell Ng,Malaysia,Economy,8,4,4,4,2,4,3,2015,Yes
aegean-airlines,Themistocleous Themis,Cyprus,Economy,10,2,5,4,4,4,2,2015,Yes
aegean-airlines,J Bransby,United Kingdom,Economy,8,3,4,5,4,5,2,2015,Yes
aer-lingus,John Lince,United States,Economy,8,5,5,3,3,5,7,2015,Yes
aegean-airlines,D Ito,Germany,Business Class,9,3,4,5,0,5,2,2015,Yes
aegean-airlines,N Micallef,Australia,Economy,7,4,4,4,0,4,1,2015,Yes
aer-lingus,Allison Garetto ,United States,Economy,1,1,1,1,1,1,7,2015,No
aegean-airlines,Rick Yah,Singapore,Economy,7,4,4,4,2,4,12,2014,Yes
aegean-airlines,G Spiros,Sweden,Economy,7,2,5,5,1,4,12,2014,Yes
aegean-airlines,Dan Tong,United States,Economy,10,5,5,5,1,5,11,2014,Yes
aer-lingus,Jason Barsal,United Kingdom,Economy,8,4,5,3,2,4,7,2015,Yes
aer-lingus,S Whyte,Ireland,Business Class,10,5,5,5,4,4,7,2015,Yes
aegean-airlines,D Pomeroy,Canada,Business Class,9,4,5,5,2,5,11,2014,Yes
aegean-airlines,Georgoulopoulos Apostolos,Greece,Business Class,9,3,5,5,0,5,11,2014,Yes
aegean-airlines,Pocock Philip,United Kingdom,Economy,10,5,5,4,0,5,11,2014,Yes
aer-lingus,L Pulliam,United States,Economy,7,3,4,3,4,4,7,2015,Yes
aer-lingus,J Gabris,United States,Economy,9,3,4,4,4,5,6,2015,Yes
aegean-airlines,C Bartzelis,Greece,Economy,2,1,4,1,0,1,11,2014,No
aegean-airlines,Anastasia Gkika,Greece,Economy,1,3,3,3,1,2,11,2014,No
aegean-airlines,C Tampasis,Greece,Economy,2,2,2,1,1,1,10,2014,No
aegean-airlines,N Dorizas,United States,Economy,10,3,5,4,4,5,10,2014,Yes
aer-lingus,Bruce Laroche,United States,Economy,2,3,1,1,1,2,5,2015,No
aer-lingus,Nicola Harvey,United Kingdom,Economy,7,3,3,0,0,4,5,2015,Yes
aegean-airlines,D Aggelopoulos,Greece,Economy,9,4,5,5,0,4,10,2014,Yes
aegean-airlines,Michael Shoesmith,United Kingdom,Economy,9,4,5,4,0,5,10,2014,Yes
aegean-airlines,N Tsagkalidis,Greece,Business Class,3,3,4,2,0,2,9,2014,No
aer-lingus,L Gran,Australia,Economy,1,3,1,0,0,2,5,2015,No
aer-lingus,R Williams,United States,Business Class,7,3,4,4,0,3,5,2015,No
aer-lingus,M Judge,Ireland,Economy,10,5,5,5,5,5,5,2015,Yes
aegean-airlines,J Bacallado,Spain,Economy,8,4,4,4,0,5,9,2014,Yes
aegean-airlines,T Xavier,United States,Economy,9,3,4,4,0,5,9,2014,Yes
aegean-airlines,George Tziviskos,United States,Economy,10,4,5,4,0,4,9,2014,Yes
aer-lingus,John P Connolly,United States,Business Class,10,5,5,5,5,5,4,2015,Yes
aer-lingus,Nicola Harvey,United Kingdom,Economy,5,4,3,4,0,4,4,2015,Yes
aer-lingus,Audrey Burkley,Ireland,Economy,2,2,3,2,0,4,4,2015,No
aegean-airlines,S Diamantis,United States,Economy,10,5,5,5,3,5,9,2014,Yes
aegean-airlines,Tercon Bojan,Singapore,Economy,8,3,3,1,1,5,9,2014,Yes
aegean-airlines,Korhan Sahin,Turkey,Economy,5,3,2,1,1,2,9,2014,Yes
aer-lingus,Fang Jun,China,Economy,6,4,3,4,0,3,4,2015,Yes
aer-lingus,A Adams,United Kingdom,Business Class,2,3,1,3,0,2,4,2015,No
aegean-airlines,Fiona Bechelli,Australia,Economy,1,3,1,2,1,2,8,2014,No
aegean-airlines,E Karavelas,Greece,Business Class,9,3,5,4,1,5,8,2014,Yes
aegean-airlines,Terry Douris,United Kingdom,Economy,10,5,5,4,3,4,8,2014,Yes
aer-lingus,R Daalen,United States,Economy,2,2,2,2,1,2,4,2015,No
aer-lingus,Caroline Foley,Canada,Economy,10,5,5,5,5,4,4,2015,Yes
aer-lingus,D Crowley,Ireland,Economy,2,5,2,5,5,2,3,2015,No
aegean-airlines,Vounelakis Ilias,Greece,Economy,10,5,5,5,0,4,8,2014,Yes
aegean-airlines,M Tossounian,United Kingdom,Business Class,10,4,5,5,4,5,8,2014,Yes
aegean-airlines,S Matthews,United Kingdom,Economy,10,3,5,5,0,4,8,2014,Yes
aer-lingus,K Waterstone,United Kingdom,Economy,10,4,5,3,0,3,3,2015,Yes
aer-lingus,C Lynch,United Kingdom,Economy,4,3,4,3,3,3,3,2015,No
aegean-airlines,K Price,United Kingdom,Economy,5,1,5,5,1,3,8,2014,No
aegean-airlines,Bill Jackson,Spain,Economy,9,4,5,4,0,4,8,2014,Yes
aer-lingus,R Chalmers,United Kingdom,Economy,9,4,4,4,4,5,3,2015,Yes
aer-lingus,S Tegtmeier,Germany,Economy,7,4,5,4,1,4,3,2015,Yes
aer-lingus,G Rowand,United States,Economy,8,3,5,5,4,4,3,2015,Yes
aegean-airlines,Tom Besler,Slovakia,Economy,8,4,4,5,3,4,7,2014,Yes
aegean-airlines,K Chen,United States,Economy,9,4,5,5,4,4,7,2014,Yes
aegean-airlines,L Hogg,United Kingdom,Economy,1,2,1,1,1,2,7,2014,No
aer-lingus,D O'Sullivan,Ireland,Business Class,10,5,5,5,5,5,2,2015,Yes
aer-lingus,Ian Gallagher,Ireland,Economy,10,5,5,5,4,4,1,2015,Yes
aegean-airlines,H Matthews,United Kingdom,Economy,4,1,3,3,2,3,7,2014,No
aegean-airlines,Dettling Arnold,Switzerland,Economy,1,2,2,3,1,1,7,2014,No
aegean-airlines,M Studzinski,Poland,Economy,9,4,5,4,4,4,7,2014,Yes
aegean-airlines,K Tossounyan,United Kingdom,Economy,10,5,5,5,5,5,7,2014,Yes
aer-lingus,G Mcgrath,Ireland,Economy,8,3,4,4,4,4,1,2015,Yes
aer-lingus,Pidlaoan Christian,Canada,Economy,6,4,4,2,1,3,1,2015,Yes
aer-lingus,N Murphy,Ireland,Economy,8,4,4,4,1,5,1,2015,Yes
aeroflot-russian-airlines,A McAndrew,United States,Premium Economy,8,4,4,3,3,5,7,2015,Yes
aegean-airlines,Terry Salem,United States,Economy,1,3,1,3,1,1,6,2014,No
aegean-airlines,D Ito,Germany,Economy,9,5,5,5,0,5,6,2014,Yes
aegean-airlines,Ioannis Nafpliotis,Greece,Economy,1,1,4,2,1,2,6,2014,No
aer-lingus,Sean Leonard,Ireland,Economy,9,1,5,4,0,3,1,2015,Yes
aer-lingus,M Burgess,United Kingdom,Economy,10,4,5,5,0,5,1,2015,Yes
aer-lingus,J O'Sullivan,Ireland,Economy,6,3,3,3,4,3,1,2015,Yes
aer-lingus,G Lynskey,New Zealand,Economy,2,4,1,4,4,2,12,2014,No
aeroflot-russian-airlines,Saida Manieva,United Kingdom,Economy,7,4,4,2,3,3,7,2015,No
aeroflot-russian-airlines,Denisa Osvaldová,Czech Republic,Economy,10,5,5,5,5,5,7,2015,Yes
aeroflot-russian-airlines,Filip Badziak,Poland,Economy,8,3,3,4,4,5,7,2015,Yes
aegean-airlines,I Magkouras,Switzerland,Economy,10,4,5,4,0,5,6,2014,Yes
aegean-airlines,Alexios Chatziioannidis,Greece,Economy,10,4,5,5,4,5,6,2014,Yes
aegean-airlines,Mathews Paul,United Kingdom,Economy,10,4,5,4,0,3,6,2014,Yes
aer-lingus,P Wright,United States,Economy,2,3,2,2,3,2,12,2014,No
aer-lingus,K Small,United Kingdom,Economy,5,4,5,3,0,2,12,2014,Yes
aer-lingus,R Singletary,United Kingdom,Economy,8,3,4,0,0,4,12,2014,Yes
aeroflot-russian-airlines,Feroz Jinnah,India,Economy,3,3,1,3,3,3,6,2015,No
aeroflot-russian-airlines,H Dalem,Netherlands,Business Class,8,3,5,4,4,4,6,2015,Yes
aeroflot-russian-airlines,Vsevolod Andreev,Russian Federation,Economy,9,5,4,5,3,5,6,2015,Yes
aegean-airlines,R Bergeron,United States,Economy,2,2,4,3,1,1,5,2014,No
aegean-airlines,Karasek Antonin,Czech Republic,Economy,10,5,5,5,4,4,5,2014,Yes
aer-lingus,Zafrullah Hamzah,Ireland,Economy,6,3,4,0,0,2,12,2014,No
aer-lingus,J German,Spain,Economy,9,4,4,4,4,5,11,2014,Yes
aer-lingus,D O'Connor,Ireland,Economy,10,4,5,4,4,5,11,2014,Yes
aeroflot-russian-airlines,Dan Korn,United States,Premium Economy,10,5,5,5,5,5,6,2015,Yes
aeroflot-russian-airlines,Ishaan Sai,India,Economy,9,4,3,4,3,5,6,2015,Yes
aegean-airlines,A Pierce,United Kingdom,Economy,10,4,5,4,4,3,4,2014,Yes
aegean-airlines,J Beattie,United Kingdom,Economy,10,4,5,4,0,5,4,2014,Yes
aer-lingus,B Ellis,United Kingdom,Economy,2,2,3,2,3,3,10,2014,No
aer-lingus,Alan Wan,United Kingdom,Economy,7,2,4,2,0,4,10,2014,Yes
aer-lingus,Norman Lezotte,United States,Business Class,10,4,5,5,4,5,10,2014,Yes
aeroflot-russian-airlines,A Zalewski,United States,Economy,8,3,4,4,5,5,6,2015,Yes
aeroflot-russian-airlines,Julia Eyler,United States,Economy,7,1,5,4,2,4,6,2015,Yes
aeroflot-russian-airlines,Adam Horton,China,Economy,7,4,3,4,4,4,6,2015,Yes
aegean-airlines,T Xavier,United States,Economy,10,3,5,5,0,5,3,2014,Yes
aegean-airlines,M de Montalembert,Italy,Economy,3,2,3,2,1,2,2,2014,No
aegean-airlines,A Christodoulou,Cyprus,Economy,5,3,2,2,3,3,2,2014,Yes
aer-lingus,Donal O'Connell,United Kingdom,Economy,10,4,5,4,0,4,10,2014,Yes
aer-lingus,S Alabere,United Kingdom,Business Class,7,4,4,4,4,4,10,2014,Yes
aeroflot-russian-airlines,Rob Zdenek,Hungary,Economy,8,3,4,3,4,4,6,2015,Yes
aeroflot-russian-airlines,Josef Sonntag,Israel,Economy,8,4,5,3,3,5,5,2015,Yes
aeroflot-russian-airlines,Roeland Smits,Netherlands,Economy,1,2,1,2,2,1,4,2015,No
aegean-airlines,N Simonis,Greece,Economy,6,2,5,2,0,3,2,2014,No
aegean-airlines,Mark Fletcher,United States,Business Class,9,5,5,5,3,4,1,2014,Yes
aegean-airlines,Alexander Sorel,Belgium,Economy,9,4,5,4,3,4,1,2014,Yes
aerolineas-argentinas,Hilarion Martinez,United States,Economy,5,1,5,2,5,3,7,2015,Yes
aer-lingus,L Barron,United States,Economy,9,4,4,4,4,4,10,2014,Yes
aer-lingus,Tony Donovan,Ireland,Economy,7,3,3,1,0,4,10,2014,Yes
aer-lingus,B Phillips,United Kingdom,Economy,9,5,4,3,1,5,10,2014,Yes
aer-lingus,Patrick Watson,United States,Business Class,10,4,5,5,4,5,10,2014,Yes
aeroflot-russian-airlines,C Wajsberg,Israel,Economy,6,3,4,2,2,3,4,2015,No
aeroflot-russian-airlines,H Rungen,Germany,Economy,1,2,1,3,1,1,4,2015,No
aeroflot-russian-airlines,Haglund Fredrik,Sweden,Economy,7,4,4,3,5,5,4,2015,Yes
aegean-airlines,Alex Krava,Greece,Economy,8,3,5,3,2,3,1,2014,Yes
aegean-airlines,K Bikos,Greece,Economy,6,4,2,2,0,3,1,2014,Yes
aegean-airlines,Deligianni Fanin,United Kingdom,Economy,1,4,2,4,3,1,12,2013,No
aerolineas-argentinas,M Studzinski,Poland,Business Class,2,3,3,1,1,2,7,2015,No
aerolineas-argentinas,J Bacallado,Spain,Economy,7,4,4,4,4,4,6,2015,Yes
aerolineas-argentinas,J Ferretti,Argentina,Economy,9,4,5,3,0,4,5,2015,Yes
aer-lingus,L Barron,United States,Economy,9,4,4,4,4,4,10,2014,Yes
aer-lingus,C O'Neill,United Kingdom,Economy,9,4,4,4,0,4,10,2014,Yes
aer-lingus,John Richardson,United States,Economy,4,2,1,3,4,3,10,2014,No
aer-lingus,Drew Charlotte,United States,Economy,6,4,3,3,1,4,10,2014,Yes
aeroflot-russian-airlines,R Edwards,United Kingdom,Economy,10,4,5,4,5,5,4,2015,Yes
aeroflot-russian-airlines,Patricia Johnson,United States,Economy,9,4,5,4,5,5,4,2015,Yes
aeroflot-russian-airlines,Botar Ecaterina,Romania,Economy,4,3,3,2,4,4,3,2015,No
aegean-airlines,A Nicholson,Canada,Economy,10,4,5,4,4,4,12,2013,Yes
aegean-airlines,A Dimitris,Italy,Business Class,10,5,5,5,5,5,11,2013,Yes
aegean-airlines,Philip Pocock,United Kingdom,Economy,10,5,5,4,4,5,11,2013,Yes
aerolineas-argentinas,A Blanco,United States,Economy,3,1,2,3,1,2,5,2015,No
aerolineas-argentinas,Michael O'Higgins,United States,Business Class,5,5,5,4,3,5,4,2015,Yes
aerolineas-argentinas,Robert Heim,United States,Business Class,10,5,5,5,4,5,3,2015,Yes
aer-lingus,A Clarke,Ireland,Economy,8,4,5,4,0,4,10,2014,Yes
aeroflot-russian-airlines,C Mackenzie,France,Economy,2,2,1,2,2,2,3,2015,No
aeroflot-russian-airlines,B Li,Germany,Economy,6,4,3,3,4,5,3,2015,Yes
aegean-airlines,I Biliatis,United Kingdom,Economy,9,5,5,5,1,4,10,2013,Yes
aegean-airlines,Donald McKelvie,Australia,Economy,10,5,5,5,0,5,10,2013,Yes
aegean-airlines,Oleksii Urytskyi,Ukraine,Economy,9,5,4,3,4,5,10,2013,Yes
aerolineas-argentinas,Guillermo Mujica,Argentina,Economy,1,1,1,2,3,2,2,2015,No
aerolineas-argentinas,D Battles,United States,Economy,1,3,1,2,3,1,1,2015,No
aerolineas-argentinas,B Wagner,United States,Business Class,8,4,5,5,4,5,1,2015,Yes
aerolineas-argentinas,A Skidmore,United Kingdom,Economy,10,3,5,4,1,4,12,2014,Yes
aer-lingus,A Palframan,Canada,Economy,5,1,1,1,4,2,9,2014,No
aer-lingus,N Harvey,United Kingdom,Economy,4,2,3,3,0,3,9,2014,No
aer-lingus,K Dominguez,United States,Economy,5,3,2,1,2,3,9,2014,No
aeroflot-russian-airlines,Vandor Attila,Hungary,Economy,3,2,1,1,4,3,2,2015,No
aeroflot-russian-airlines,Marc Liljeqvist,Denmark,Economy,9,4,5,5,3,5,2,2015,Yes
aeroflot-russian-airlines,Ringkjoebing Michael,Denmark,Economy,7,3,3,1,4,5,2,2015,Yes
aeroflot-russian-airlines,Kalatsidis Evgenios,Spain,Economy,8,4,4,5,4,5,2,2015,Yes
aegean-airlines,M Heather,United Kingdom,Economy,9,4,4,4,3,5,10,2013,Yes
aegean-airlines,Y Raltseva,United Kingdom,Economy,3,4,2,4,4,1,10,2013,No
aerolineas-argentinas,Russell Conyers,Bermuda,Premium Economy,8,5,5,3,0,3,12,2014,Yes
aerolineas-argentinas,Tercon Bojan,Singapore,Economy,8,4,4,4,1,5,12,2014,Yes
aerolineas-argentinas,Billy Dolan,Argentina,Business Class,7,3,4,3,3,4,10,2014,Yes
aer-lingus,Catherine Guthrie,United States,Economy,10,5,5,5,5,5,9,2014,Yes
aer-lingus,Harry Finnegan,United States,Economy,2,1,5,3,1,2,9,2014,No
aeroflot-russian-airlines,Richard Maskery,Thailand,Economy,8,4,5,3,4,5,1,2015,Yes
aeroflot-russian-airlines,Robert Myers,Chile,Economy,7,5,5,5,5,5,1,2015,Yes
aeroflot-russian-airlines,Robson Dean,Russian Federation,Economy,1,1,1,3,3,2,1,2015,No
aeroflot-russian-airlines,M Studzinski,Poland,Economy,6,4,3,2,4,4,1,2015,Yes
aegean-airlines,J Richard,Switzerland,Economy,9,5,5,4,0,5,10,2013,Yes
aegean-airlines,Bobby Giannakopoulos,Canada,Economy,8,4,4,4,3,4,10,2013,Yes
aegean-airlines,T Mahr,Germany,Economy,9,4,5,4,3,5,10,2013,Yes
aerolineas-argentinas,Erico Sanchez,Canada,Business Class,7,3,5,3,4,4,10,2014,Yes
aerolineas-argentinas,B Aldridge,United States,Economy,2,2,1,2,1,2,8,2014,No
aerolineas-argentinas,Sebastian Ireneo,Argentina,Economy,10,4,5,5,4,5,7,2014,Yes
aerolineas-argentinas,J Bacallado,Spain,Economy,7,4,4,3,0,3,6,2014,Yes
aer-lingus,Nicola Harvey,United Kingdom,Economy,4,3,2,0,0,3,9,2014,No
aer-lingus,H Bishop,Canada,Economy,7,4,4,3,5,4,9,2014,Yes
aeroflot-russian-airlines,Hitender Mehandiratta,India,Economy,8,4,5,3,4,5,1,2015,Yes
aeroflot-russian-airlines,C Suys,Belgium,Economy,9,5,4,4,5,5,1,2015,Yes
aeroflot-russian-airlines,C Suys,Belgium,Economy,8,4,4,4,0,4,1,2015,Yes
aegean-airlines,Peter Ingham,United Kingdom,Economy,5,3,4,1,1,3,10,2013,No
aegean-airlines,Pauline Finn,United Kingdom,Economy,10,5,5,5,0,5,9,2013,Yes
aegean-airlines,P Boeck,Germany,Economy,3,3,2,3,2,3,9,2013,No
aerolineas-argentinas,Destvet Patricio,United States,Business Class,3,3,3,1,3,3,4,2014,No
aerolineas-argentinas,Lucas Pio,Brazil,Premium Economy,10,5,5,5,5,5,4,2014,Yes
aerolineas-argentinas,B Aldridge,United States,Economy,2,2,1,2,1,2,4,2014,No
aeromexico,Hector Lopez,Mexico,Economy,8,4,4,3,4,4,7,2015,Yes
aeromexico,Eric Rosenberg,Mexico,Economy,2,3,2,1,2,2,6,2015,No
aeromexico,Jose Granados,Mexico,First Class,1,4,3,4,1,3,6,2015,No
aer-lingus,James Fitzpatrick,Ireland,Economy,8,4,5,4,0,4,9,2014,Yes
aer-lingus,K Morgan,United Kingdom,Business Class,10,4,5,4,5,5,9,2014,Yes
aer-lingus,Hardy Mylene,United States,Economy,5,2,4,4,4,4,9,2014,No
aer-lingus,G Ritchie,United States,Economy,3,3,1,1,4,3,9,2014,No
aeroflot-russian-airlines,C Howard,New Zealand,Economy,9,4,4,5,5,5,12,2014,Yes
aeroflot-russian-airlines,Marc Liljeqvist,Denmark,Economy,10,3,5,5,5,5,12,2014,Yes
aeroflot-russian-airlines,Hossein Hosseini,Iran,Business Class,5,4,3,3,0,2,12,2014,No
aegean-airlines,Nicolas Simonis,Greece,Economy,6,3,4,2,0,2,8,2013,No
aegean-airlines,A Diamantis,Greece,Economy,10,5,5,5,5,5,8,2013,Yes
aegean-airlines,A Asprakis,United States,Economy,10,5,5,5,3,5,8,2013,Yes
aegean-airlines,S Giaerl,Greece,Economy,10,5,5,4,5,4,8,2013,Yes
aerolineas-argentinas,D Cassius,Netherlands,Economy,8,3,4,0,0,4,4,2014,Yes
aerolineas-argentinas,J Gamero,France,Economy,8,5,5,5,5,5,3,2014,Yes
aeromexico,Alejandra Gomez,United States,Economy,10,5,5,5,5,5,6,2015,Yes
aeromexico,Bernie Albelda,United States,Economy,1,1,1,1,1,4,6,2015,No
aeromexico,Marco Flores,United States,Economy,10,5,5,5,5,5,6,2015,Yes
aer-lingus,Mazhar Khan,United States,Economy,2,2,2,1,3,2,8,2014,No
aer-lingus,N Francis,United Kingdom,Economy,8,4,4,4,0,4,8,2014,Yes
aer-lingus,G Fox,Canada,Economy,2,3,1,0,1,3,8,2014,No
aeroflot-russian-airlines,H Watson,Australia,Economy,8,4,4,0,0,4,12,2014,Yes
aeroflot-russian-airlines,Penelope Poulou,United States,Economy,5,4,3,3,4,5,10,2014,Yes
aeroflot-russian-airlines,K Shoshana Youngsam,Canada,Economy,9,4,5,4,5,5,10,2014,Yes
aeroflot-russian-airlines,Mike McElhone,Canada,Economy,8,4,5,3,4,4,10,2014,Yes
aegean-airlines,Konstantinos Kotzaridis,Germany,Business Class,9,2,5,4,4,3,8,2013,Yes
aegean-airlines,M Murray,Greece,Economy,5,1,3,0,0,3,7,2013,No
aegean-airlines,Mordo Guy,Israel,Economy,3,3,1,2,1,2,7,2013,No
aerolineas-argentinas,E Cook,United Kingdom,Economy,3,2,1,2,0,2,2,2014,No
aerolineas-argentinas,Peter Weber,Switzerland,Economy,8,4,3,3,4,4,2,2014,Yes
aerolineas-argentinas,K Minka,Australia,Economy,1,3,2,2,1,1,2,2014,No
aerolineas-argentinas,H Schneider,Australia,Economy,3,3,3,2,2,2,1,2014,No
aeromexico,Jacqueline Webber,Mexico,Economy,2,1,1,1,1,3,6,2015,No
aer-lingus,Nigel Bennett,United Kingdom,Economy,9,4,4,4,3,4,8,2014,Yes
aer-lingus,R Sampath,United States,Economy,3,2,4,2,2,2,8,2014,No
aeroflot-russian-airlines,Sargeant Alan,Australia,Economy,9,4,4,3,1,5,10,2014,Yes
aeroflot-russian-airlines,Andersson Lennart,Sweden,Economy,2,4,1,1,3,2,9,2014,No
aeroflot-russian-airlines,Volker von Detten,United States,Economy,10,5,5,5,5,5,9,2014,Yes
aeroflot-russian-airlines,A Sargeant,Australia,Business Class,9,4,4,5,1,4,9,2014,Yes
aegean-airlines,Krissa Garner,United States,Economy,10,5,5,5,0,5,7,2013,Yes
aegean-airlines,T Lord,Cyprus,Economy,10,4,4,4,0,4,7,2013,Yes
aegean-airlines,A Grotenhuis,Netherlands,Business Class,9,4,5,5,0,4,7,2013,Yes
aerolineas-argentinas,Marlon Kobacker,Australia,Economy,8,4,4,2,4,4,1,2014,Yes
aerolineas-argentinas,R Stokes,Colombia,Economy,2,2,1,1,2,1,1,2014,No
aeromexico,Kelton Kostis,Canada,Economy,7,5,5,2,3,4,5,2015,Yes
aeromexico,Janis Salmeron,United States,Economy,10,5,5,5,5,5,4,2015,Yes
aeromexico,Jenny Wilson,Australia,Business Class,6,4,4,4,1,4,3,2015,Yes
aer-lingus,N Harvey,United Kingdom,Economy,2,3,2,0,0,3,8,2014,No
aer-lingus,C Macon,Ireland,Economy,2,1,4,1,3,3,8,2014,No
aer-lingus,Iain Cockburn,United Kingdom,Economy,10,5,5,4,0,4,8,2014,Yes
aer-lingus,G Cunningham,United Kingdom,Economy,2,1,3,1,3,2,8,2014,No
aeroflot-russian-airlines,Haji Murat,Russian Federation,Economy,9,5,5,4,1,5,8,2014,Yes
aeroflot-russian-airlines,T Haroutunian,United States,Economy,9,4,5,4,5,5,7,2014,Yes
aeroflot-russian-airlines,K Peter,Spain,Economy,7,3,2,4,3,4,7,2014,Yes
aegean-airlines,M Dizon,Philippines,Economy,10,5,5,5,0,4,7,2013,Yes
aegean-airlines,Georgios Chouliaras,Greece,Economy,2,1,1,3,2,1,7,2013,No
aegean-airlines,S Ptctan,Germany,Economy,8,4,5,5,1,4,7,2013,Yes
aegean-airlines,K Nguyen,Czech Republic,Economy,8,4,4,4,3,4,6,2013,Yes
aerosur,Susan Song,China,Economy,8,4,4,4,3,4,8,2012,Yes
aerosur,F Ahmadi,Iran,Economy,7,1,5,3,1,3,2,2012,Yes
aerolineas-argentinas,A Leal,United States,Economy,3,4,1,4,4,2,12,2013,No
aeromexico,Philip O'Connor,United Kingdom,Economy,10,4,4,4,5,5,2,2015,Yes
aeromexico,James Neeley,United States,Business Class,1,1,1,1,1,2,2,2015,No
aeromexico,F Vedrenne,Canada,Business Class,10,3,5,4,5,4,1,2015,Yes
aer-lingus,Shayla Powell,United States,Economy,1,2,1,1,2,1,8,2014,No
aer-lingus,C Colville,United Kingdom,Economy,10,5,5,3,0,5,8,2014,Yes
aer-lingus,D Maher,Ireland,Economy,2,4,3,3,1,4,8,2014,No
aeroflot-russian-airlines,A van der Made,Netherlands,Economy,6,4,2,3,4,3,7,2014,Yes
aeroflot-russian-airlines,Susan Ramsay,Hong Kong,Economy,5,2,4,1,2,4,7,2014,Yes
aeroflot-russian-airlines,A Bor,Latvia,Economy,6,3,1,3,5,4,7,2014,Yes
aegean-airlines,Fang Jun,China,Economy,9,5,5,4,0,4,6,2013,Yes
aegean-airlines,G George,Greece,Economy,9,4,5,5,3,5,6,2013,Yes
aegean-airlines,Luca Macca,Italy,Economy,9,5,5,4,3,4,6,2013,Yes
aerosur,Alan Clare,United States,Economy,1,1,1,1,1,1,10,2011,No
aerolineas-argentinas,Denise Goodfellow,Australia,Economy,9,4,4,4,3,4,12,2013,Yes
aerolineas-argentinas,P Smith,United States,Economy,10,4,5,5,0,4,12,2013,Yes
aeromexico,Jeffrey R Lukas,United States,Economy,10,5,5,5,5,5,12,2014,Yes
